contract,initial_date,final_date
BTCN0,2020-06-21,2019-07-24
BTCQ0,2020-07-26,2020-08-21
BTCU0,2020-08-23,2020-09-18
BTCV0,2020-09-20,2020-10-23
BTCX0,2020-10-25,2020-11-20
BTCZ0,2020-11-22,2020-12-18
BTCF1,2020-12-20,2021-01-22
BTCG1,2021-01-24,2021-02-19
BTCH1,2021-02-21,2021-03-19
BTCJ1,2021-03-21,2021-04-23
BTCK1,2021-04-25,2021-05-21
BTCM1,2021-05-23,2021-06-18
BTCN1,2021-06-20,2021-07-23
BTCQ1,2021-07-25,2021-08-20
BTCU1,2021-08-22,2021-09-17
BTCV1,2021-09-19,2021-10-22
BTCX1,2021-10-24,2021-11-19
BTCZ1,2021-11-21,2021-12-24
BTCF2,2021-12-26,2022-01-21
BTCG2,2022-01-23,2022-02-18
BTCH2,2022-02-20,2022-03-18
BTCJ2,2022-03-20,2022-04-22
BTCK2,2022-04-24,2022-05-20
BTCM2,2022-05-22,2022-06-17
BTCN2,2022-06-19,2022-07-22
BTCQ2,2022-07-24,2022-08-19
BTCU2,2022-08-21,2022-09-23
BTCV2,2022-09-25,2022-10-21
BTCX2,2022-10-23,2022-11-18
BTCZ2,2022-11-20,2022-12-23
BTCF3,2022-12-25,2023-01-20
BTCG3,2023-01-22,2023-02-17
BTCH3,2023-02-19,2023-03-24
BTCJ3,2023-03-26,2023-04-21
BTCK3,2023-04-23,2023-05-19
BTCM3,2023-05-21,2023-06-23
BTCN3,2023-06-25,2023-07-21
BTCQ3,2023-07-23,2023-08-18
BTCU3,2023-08-20,2023-09-22
BTCV3,2023-09-24,2023-10-20
BTCX3,2023-10-22,2023-11-17
BTCZ3,2023-11-19,2023-12-22
