contract,initial_date,final_date
VXN0, 2020-06-14, 2020-07-17
VXQ0, 2020-07-19, 2020-08-14 
VXU0, 2020-08-16, 2020-09-11
VXV0, 2020-09-13, 2020-10-16
VXX0, 2020-10-18, 2020-11-13
VXZ0, 2020-11-15, 2020-12-11
VXF1, 2020-12-13, 2021-01-15
VXG1, 2021-01-17, 2021-02-12
VXH1, 2021-02-14, 2021-03-12
VXJ1, 2021-03-14, 2021-04-16
VXK1, 2021-04-18, 2021-05-14
VXM1, 2021-05-16, 2021-06-11
VXN1, 2021-06-13, 2021-07-16
VXQ1, 2021-07-18, 2021-08-13
VXU1, 2021-08-15, 2021-09-10
VXV1, 2021-09-12, 2021-10-15
VXX1, 2021-10-17, 2021-11-12
VXZ1, 2021-11-14, 2021-12-10
VXF2, 2021-12-12, 2022-01-14
VXG2, 2022-01-16, 2022-02-11
VXH2, 2022-02-13, 2022-03-11
VXJ2, 2022-03-13, 2022-04-15
VXK2, 2022-04-17, 2022-05-13
VXM2, 2022-05-15, 2022-06-10
VXN2, 2022-06-12, 2022-07-15
VXQ2, 2022-07-17, 2022-08-12
VXU2, 2022-08-14, 2022-09-16
VXV2, 2022-09-18, 2022-10-14
VXX2, 2022-10-16, 2022-11-11
VXZ2, 2022-11-13, 2022-12-16
VXF3, 2022-12-18, 2023-01-13
VXG3, 2023-01-15, 2023-02-10
VXH3, 2023-02-12, 2023-03-17
VXJ3, 2023-03-19, 2023-04-14
VXK3, 2023-04-16, 2023-05-12
VXM3, 2023-05-14, 2023-06-16
VXN3, 2023-06-18, 2023-07-14
VXQ3, 2023-07-16, 2023-08-11
VXU3, 2023-08-13, 2023-09-15
VXV3, 2023-09-17, 2023-10-13
VXX3, 2023-10-15, 2023-11-10
VXZ3, 2023-11-12, 2023-12-15

